minimum_prior_rows,season,position,history_group,prior_rows,prior_seasons,prior_projection_rmse,prior_full_rmse,selected_model
100,2022,WR,veteran,557,5,3.184405411954946,3.1874550811911697,projection
100,2023,QB,limited,61,6,,,full
100,2023,QB,veteran,187,6,3.2570343464385094,3.198112691058183,full
100,2023,RB,limited,241,6,3.8277320525076926,3.761709934042802,full
100,2023,RB,veteran,443,6,3.35934559323447,3.3131016800959876,full
100,2023,TE,limited,137,6,2.1779806362381957,2.260368712307571,projection
100,2023,TE,veteran,396,6,2.3572263089678986,2.3258987161679916,full
100,2023,WR,limited,317,6,3.0223474004115953,3.1304864320557466,projection
100,2023,WR,veteran,678,6,3.1371482564908635,3.1255640462261454,full
100,2024,QB,limited,74,7,,,full
100,2024,QB,veteran,219,7,3.2306378561747127,3.1951885485976783,full
100,2024,RB,limited,279,7,3.9154540298150606,3.847822776599074,full
100,2024,RB,veteran,514,7,3.3601934043767465,3.319952030663528,full
100,2024,TE,limited,164,7,2.1977546099089946,2.2555568228104113,projection
100,2024,TE,veteran,457,7,2.313061422223177,2.2864399431819016,full
100,2024,WR,limited,372,7,3.076940198767836,3.1704993391883236,projection
100,2024,WR,veteran,794,7,3.1744560510849555,3.1511307453393624,full
100,2025,QB,limited,84,8,,,full
100,2025,QB,veteran,253,8,3.2524164914101954,3.2178572043006386,full
100,2025,RB,limited,313,8,3.8475233647271394,3.794229409034614,full
100,2025,RB,veteran,589,8,3.4097131339828604,3.36526378400058,full
100,2025,TE,limited,189,8,2.2495509494440444,2.312734306631508,projection
100,2025,TE,veteran,521,8,2.3125211502608134,2.2873486970371326,full
100,2025,WR,limited,424,8,3.0977419537706035,3.17608225999385,projection
100,2025,WR,veteran,907,8,3.1706729776190836,3.1489270770122477,full
100,2026,QB,limited,97,9,,,full
100,2026,QB,veteran,283,9,3.24304285485667,3.225406942557799,full
100,2026,RB,limited,349,9,3.7977419045740377,3.7555822019474827,full
100,2026,RB,veteran,662,9,3.4049723654667696,3.3552911238017518,full
100,2026,TE,limited,206,9,2.276015120209784,2.327311409810006,projection
100,2026,TE,veteran,596,9,2.3140422074935767,2.2982429952973464,full
100,2026,WR,limited,475,9,3.0557924872578526,3.1321863658744578,projection
100,2026,WR,veteran,1028,9,3.1524135183759077,3.1215786614144587,full
